Competency Code,ID,Name,Type,Family,Definition,Division,IsActive
"TECH-OPER-003","cmhrr6iub049catz0o8wgxg0r","Airport Resources Management (AOC)","TECHNICAL","Operations","It is the understanding of various airport resources like stands, gates, check-in counters, baggage carousels and an ability to utilize them in an efficient and optimum manner. It includes an understanding of the AOC SOPs and the skill of applying them in day to day operations while ensuring safety. It includes  making the resources available and allocating them in a timely and efficient manner and planning for alternatives in case of contingencies  as well as an understanding of the impact of revenue.","Operations","true"
"TECH-OPER-004","cmhrr6iro03t4atz02ebpi9xo","Baggage Handling Operations","TECHNICAL","Operations","Knowledge and understanding of the baggage handling standards and relevant codes (like IATA Tagging Formats, RFID reading, TSA). Understands the process of baggage handling including those for arrival, departure and transfer. Understands the various stakeholders involved and their role. Also it includes an understanding of the impact of baggage handling on the passenger experience. Knowledge and understanding of the SOP's of Baggage Handling System to minimize the operational impact to the delivery of baggage.","Operations","true"
"TECH-OPER-005","cmhrr6irw03ulatz0kjjvrh4r","Baggage Handling System Operations & Maintenance","TECHNICAL","Operations","Knowledge and understanding of the standard operating procedures of the baggage handling systems as per OEM requirements. It includes planning and adhering to the planned maintenance requirements by OEM. It also includes the skill of operating the baggage handling systems in a safe and secure manner.","Operations","true"
"TECH-OPER-006","cmhrr6ium04b9atz0bzqmrbq3","Capacity Analysis and Planning","TECHNICAL","Operations","It is the ability to analyze the schedule and actual operations data, passengers growth and volumes, cargo volume and baggage's handled to optimize the airport terminal capacity in the short term and medium term. It includes an understanding of the pre planning process and also the skill of preparing the plan ahead of the peak season. It covers the ways and means of maximizing the utilization of airport terminals, identifying resource constraints, bottlenecks and planning airport capacity to meet future demand.","Operations","true"
"TECH-OPER-007","cmhrr6isv040natz05y2jsuno","Coordination & AOC Operations","TECHNICAL","Operations","It is the ability to understand, interpret and communicate using ATC phraseology to communicate with the ATC, Airlines and Ground Handlers. It includes the skill of anticipating bottlenecks  in light of the airline schedule and availability of airport  resources. It covers the skill of sharing the right information with the right team at the right time and an ability to clear the flights in a safe manner. It also includes the ability to effectively address  the stakeholder requests or requirements during the operations.","Operations","true"
"TECH-OPER-008","cmhrr6itd043xatz0ioswv332","Customer Experience","TECHNICAL","Operations","Knowledge and understanding of the customer experience impacting processes and facilities like parking, check-in counters, baggage check-in or collection, baggage screening, customs, duty free shops, restaurants/cafe, commercial activities and medical emergencies. It includes the ability to continuously improve these processes to enhance customer experience. It also includes being sensitive to the needs and requests  of the customers, addressing their complaints / feedback and possessing a service mindset to effectively address such requests.","Operations","true"
"TECH-OPER-009","cmhrr6it4042catz0nmpmojpq","Manpower Resources Management","TECHNICAL","Operations","Understanding of the manpower requirements at the terminal / airfield / airport and effectively planning for the availability of such resources. Ability to utilize the available resources including allocation and re-allocation, rostering and scheduling the manpower by balancing between cost and efficiency.","Operations","true"
"TECH-OPER-010","cmhrr6isd03xlatz0k07dddr0","Terminal Facilities Management","TECHNICAL","Operations","Knowledge and understanding of the repair and maintenance of the facilities and equipment used in the efficient operations of the terminal and adherence to their maintenance schedule. It includes the identification of any gaps and taking corrective actions.","Operations","true"
"TECH-OPER-011","cmhrr6is403w0atz0a2tx93hq","Terminal Operations","TECHNICAL","Operations","Knowledge of ICAO Annex 9 standards and recommendations and Understanding of the terminal operations, layout and plan, different stakeholders and their roles and responsibilities and applicable regulations. It includes the knowledge of HSE policies,  processes and procedures as per the applicable HSE standards, safety requirements and regulations governing the safety of the airport.","Operations","true"
"TECH-OPER-012","cmhrr6iu1047ratz0r1tpvzji","Wildlife Hazard Management","TECHNICAL","Operations","Knowledge and an understanding of ICAO Standards and recommendations in An 14, Doc 9137-Part 3, the wildlife trends and patterns impacting various airports under OA and developing a strategy to assess and mitigate the hazards arising from wildlife. It includes analyzing survey results, investigating incidents and taking preventive actions. It also includes the ability to develop and implement a reporting mechanism for wildlife.","Operations","true"
"TECH-QUAL-001","cmhrr6iuw04cuatz03c2szmk7","Process Improvements","TECHNICAL","Quality","It is the ability to understanding the business processes, benchmark against leading practices, identify gaps and work with process owners to address the process gaps. It also includes the skill of measuring the performance of the process over time.","Corporate Planning","true"
"TECH-QUAL-002","cmhrr6iv304e3atz0wxr4evr7","Quality Certifications Management","TECHNICAL","Quality","It is the identification and understanding of quality management standards aligned with OA business objectives, preparing a roadmap for their implementation and the skill of institutionalizing such standards in OA. It includes monitoring and reporting the progress on implementation of quality standards.","Corporate Planning","true"
"TECH-QUAL-003","cmhrr6ivc04fiatz0bhcr9db1","Quality Culture","TECHNICAL","Quality","It is the ability to create a culture of quality management at OA by working closely with stakeholders, creating awareness programs, communication and undertaking OA wide initiatives leading to enhanced understanding of quality and related processes.","Corporate Planning","true"
"TECH-SECU-001","cmhrr6iw104jfatz09hv0uu23","Airport Security Programme (ASP) Management","TECHNICAL","Security","Understand the ICAO requirements of ASP and an ability to develop, review and implement the Airport Security Plan (ASP). It also includes assigning roles and responsibilities, developing the plan, revising, implementing and training of stakeholders.","Operations","true"
"TECH-SECU-002","cmhrr6ivm04h1atz0adk6dkad","Knowledge of Regulations(Security)","TECHNICAL","Security","Knowledge and understanding of the international standards and recommended practices of ICAO Regulations  (Annex 17, Annex 9)  and the  detailed procedures, guidance, and security measures included in the Aviation Security Manual (Doc 8973- Restricted), National Civil Aviation Security Programmes and Airport Security Programmes.","Operations","true"
"TECH-SECU-003","cmhrr6iwh04lzatz0ihnh0uux","Security Culture","TECHNICAL","Security","Ability to reinforce a strong Security culture through awareness,  alertness to security risks and public engagement. Ability to equip all levels of Security personnel with the necessary theory, principles and skills to perform their tasks.  Carryout practical exercises involving security personnel and all relevant stakeholders. Conducting Training, education and Security communication.","Operations","true"
"TECH-SECU-004","cmhrr6iw804kmatz0vbtuz1y0","Stakeholder Management (Ops Security)","TECHNICAL","Security","Understanding the needs and requirements of various internal and external stakeholders including RoP, PACA, Oman Air, HSE, AFS etc. Ability to liaise with them for implementation of international security & facilitation laws, policies and controls, emergency situations, risks and threats. Periodically review the gaps in process implementation and sensitize them on any improvement opportunities. Performing all security activities with different internal and external stakeholders with high level of customer service.","Operations","true"
"TECH-SECU-005","cmhrr6ivt04i6atz0s03bdkn6","Standard Operating Procedure (SOP) Development","TECHNICAL","Security","Ability to develop Security related Standard Operating Procedures (SOPs) and processes in line with ICAO standards and regulatory requirements of PACA. Ability to transfer knowledge to other stakeholders on SOPs, policy and procedures, and other related fields. Includes the ability to review the SOPs periodically and revise them to ensure optimum security at all times.","Operations","true"
"TECH-STRA-001","cmhrr6j7r06esatz071d9qwim","Enterprise Risk Management","TECHNICAL","Strategy","It is the understanding of the concepts and frameworks related to enterprise risk management. It includes the ability to identify the strategic risks to OA, develop a risk treatment plan and devise a risk mitigation strategy.","Strategy and Planing","true"
"TECH-STRA-002","cmhrr6j9l06ozatz0lzbx5rep","Governance (Policies & Procedures)","TECHNICAL","Strategy","It is the knowledge of the OAMC's policies and procedures along with adequate understanding of the application of policy level directives and following the defined processes and authority (as defined in delegation of authority) to ensure effective system of internal controls.","Strategy and Planing","true"
"TECH-TECH-001","cmhrr6ixx04upatz05m36q1vj","Airport Operations and Safety","TECHNICAL","Technical Services","Understanding of the airport operations, airport layout and plan, different stakeholders and their roles and responsibilities and applicable regulations. It includes Knowledge of HSE policies,  processes and procedures as per the applicable HSE standards.","Technical Services","true"
"TECH-TECH-002","cmhrr6ix504pzatz0t73cdle5","Airport Systems Engineering Principle and Application","TECHNICAL","Technical Services","Knowledge of the concepts, principles, theories, and methods related to the system maintenance of AGL, Passenger Boarding Bridges, Visual Docking Guidance, Apron Flood Lighting, Ground Power Unit, Pre-conditioned Air, Vertical and Horizontal Travellators","Technical Services","true"
"TECH-TECH-003","cmhrr6iyu0506atz0tvx2ah0s","Asset Information Management","TECHNICAL","Technical Services","Ability to define asset information standards and management processes and procedures and asset management reporting mechanism.  It includes the ability to specify and integrate Asset Management IT Systems to provide accurate information on the asset condition, performance and physical location. It also includes maintaining the ongoing integrity and quality of asset data and information.","Technical Services","true"
"TECH-TECH-004","cmhrr6iz3051vatz0064q3cy4","Asset Performance Monitoring","TECHNICAL","Technical Services","It is the ability to define the asset performance standards across the asset portfolio of OA while ensuring alignment with AM policies and procedures. It includes monitoring and reviewing the asset conditions and an ability to carry out root cause analysis for asset defects and failures.","Technical Services","true"
"TECH-TECH-005","cmhrr6ix104p8atz0b9ue5z73","Civil Engineering Principle and Application","TECHNICAL","Technical Services","Knowledge of the concepts, principles, theories, and methods related to airfield and landside civil infrastructure maintenance of airport buildings, runways, taxiways and aprons.","Technical Services","true"
"TECH-TECH-006","cmhrr6izm0553atz0uonrold2","Contract Management & Vendor Performance Management","TECHNICAL","Technical Services","It is the ability to assess, evaluate and select the right vendors (third-party providers) of materials and services. It includes an ability to set performance standards/ SLA in medium / long term contracts, managing key relationships and ensuring vendors meet the contractual obligations. It also includes managing OA's costs, mitigate risks and maintaining service excellence.","Technical Services","true"
